Date,Open,High,Low,Close,Volume,Adj Close,Return
15/08/2014,5493.6,5522.8,5490.2,5511.19,584727100,5511.19,0
14/08/2014,5459.7,5503,5459.7,5493.57,750374000,5493.57,-0.003197132
13/08/2014,5474.9,5474.9,5448.7,5459.67,661330300,5459.67,-0.006170851
12/08/2014,5402.7,5478,5402.7,5474.91,617838600,5474.91,0.002791378
11/08/2014,5381.9,5421.4,5381.9,5402.65,490465600,5402.65,-0.01319839
8/08/2014,5453.4,5453.4,5371.9,5381.92,763031400,5381.92,-0.003837006
7/08/2014,5455.8,5465.9,5435.1,5453.37,698314700,5453.37,0.013275931
6/08/2014,5462.4,5462.4,5439.4,5455.79,609950900,5455.79,0.000443762
5/08/2014,5484.6,5492.5,5454,5462.45,621004100,5462.45,0.001220721
4/08/2014,5495.6,5495.6,5468.6,5484.6,447718100,5484.6,0.004054957
1/08/2014,5575.1,5575.1,5487.2,5499.44,705022600,5499.44,0.002705758
31/07/2014,5566.1,5586.3,5561.4,5575.08,650227600,5575.08,0.013754128
30/07/2014,5532.3,5573.9,5532.3,5566.13,659967400,5566.13,-0.001605358
29/07/2014,5521.7,5537.8,5510.4,5532.28,586093600,5532.28,-0.006081425
28/07/2014,5527.3,5531.5,5503.6,5521.69,695174600,5521.69,-0.00191422
25/07/2014,5531,5531.8,5512,5527.31,687160300,5527.31,0.001017804
24/07/2014,5518.7,5536.1,5516.8,5530.97,704256700,5530.97,0.000662167
23/07/2014,5487.4,5541.6,5487.4,5520.97,709016900,5520.97,-0.001808001
22/07/2014,5484.1,5489.5,5474.7,5487.41,597919500,5487.41,-0.006078642
21/07/2014,5476.1,5496.6,5474.4,5484.15,527177700,5484.15,-0.000594087
18/07/2014,5466.1,5476.1,5429.2,5476.06,681042600,5476.06,-0.00147516
17/07/2014,5462.6,5503.8,5462.6,5466.12,792820000,5466.12,-0.001815174
16/07/2014,5455.1,5470.4,5443.4,5462.45,670665600,5462.45,-0.000671409
