"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#Sales: Looking for some non-sketchy ways to stay in touch w/ your leads? 7 helpful tricks: http://t.co/wBPZ7OSL5X via @FastCompany",FALSE,0,NA,2014-08-24 12:01:15,FALSE,NA,"503512356329377792",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"We're really excited to be partnering with @thinkingphones &amp; integrating our products: http://t.co/iTem5LsjSf by @talkin_cloud @dkobialka",FALSE,1,NA,2014-08-24 02:00:41,FALSE,NA,"503361218464460800",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",2,FALSE,FALSE,NA,NA
"#HR: Watch our recent webcast, learn innovative ways to communicate benefits to a dispersed workforce http://t.co/hORnOQyg1p #humanresources",FALSE,0,NA,2014-08-24 01:00:59,FALSE,NA,"503346197344833536",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"Our collaboration tools are trusted by 75% of the Fortune 100. See why: http://t.co/A346LqWKgK",FALSE,1,NA,2014-08-24 00:01:00,FALSE,NA,"503331100929056769",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"Can Apple turn #wearables mainstream? Read about it in our Flipboard mag: http://t.co/jzlPjsavAz http://t.co/8p4c9xYiLL",FALSE,0,NA,2014-08-23 23:00:51,FALSE,NA,"503315963723268096",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"Even #PGiGuy is getting in on the #IceBucketChallenge! See more videos and follow us on Instagram: http://t.co/Kp0NGyUp7H #StrikeOutALS",FALSE,0,NA,2014-08-23 22:00:37,FALSE,NA,"503300803550248961",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"Who's responsible for ensuring your customers are happy every time they reach out? The #CIO: http://t.co/SSGKSknH2R http://t.co/lD9JdQBgSI",FALSE,1,NA,2014-08-23 21:01:06,FALSE,NA,"503285828408582145",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"#Millennials: 9 career tips by Fairy God-Millennial @BlakelyAgs: http://t.co/GDmOdemGl6 w/ @chelseakrost Career Guide http://t.co/MWKtodLqIa",FALSE,0,NA,2014-08-23 20:01:23,FALSE,NA,"503270799441408000",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"What if your company replaced #workations with a company-planned workation? http://t.co/GgsSiUvUMV http://t.co/jjIywQoVqo",FALSE,0,NA,2014-08-23 19:01:18,FALSE,NA,"503255680724508672",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"Going on a #workation? You can successfully enjoy it by incorporating these 4 tips: http://t.co/VjkUeivTan http://t.co/vW78TLbU1i",FALSE,0,NA,2014-08-23 18:00:42,FALSE,NA,"503240427311734784",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",0,FALSE,FALSE,NA,NA
