Year,Rank,Name,Number,Sex
2013,1,William,696,Boys
2013,2,Oliver,630,Boys
2013,3,Jack,574,Boys
2013,4,Noah,555,Boys
2013,5,James,510,Boys
2013,6,Lucas,471,Boys
2013,7,Thomas,468,Boys
2013,8,Lachlan,454,Boys
2013,9,Cooper,453,Boys
2013,10,Liam,447,Boys
2013,11,Ethan,445,Boys
2013,12,Jacob,428,Boys
2013,13,Alexander,428,Boys
2013,14,Isaac,412,Boys
2013,15,Joshua,408,Boys
2013,16,Samuel,399,Boys
2013,17,Harrison,356,Boys
2013,18,Benjamin,348,Boys
2013,19,Mason,346,Boys
2013,20,Max,337,Boys
2013,21,Charlie,326,Boys
2013,22,Jayden,321,Boys
2013,23,Henry,311,Boys
2013,24,Daniel,302,Boys
2013,25,Hunter,298,Boys
2013,26,Ryan,294,Boys
2013,27,Oscar,291,Boys
2013,28,Levi,285,Boys
2013,29,Xavier,280,Boys
2013,30,Harry,276,Boys
2013,31,Riley,270,Boys
2013,32,Flynn,266,Boys
2013,33,Logan,258,Boys
2013,34,Sebastian,242,Boys
2013,35,Elijah,239,Boys
2013,36,Jackson,236,Boys
2013,37,Tyler,224,Boys
2013,38,Leo,221,Boys
2013,39,Archie,210,Boys
2013,40,Joseph,209,Boys
2013,41,Matthew,207,Boys
2013,42,Michael,204,Boys
2013,43,Zachary,203,Boys
2013,44,Adam,203,Boys
2013,45,Aiden,202,Boys
2013,46,Nicholas,198,Boys
2013,47,Patrick,197,Boys
2013,48,Hudson,196,Boys
2013,49,Jaxon,193,Boys
2013,50,Jake,191,Boys
2012,1,William,639,Boys
2012,2,Lucas,571,Boys
2012,3,Oliver,569,Boys
2012,4,Noah,568,Boys
2012,5,Jack,565,Boys
2012,6,Ethan,549,Boys
2012,7,Thomas,515,Boys
2012,8,Lachlan,515,Boys
2012,9,Joshua,514,Boys
2012,10,James,489,Boys
2012,11,Cooper,455,Boys
2012,12,Jacob,455,Boys
2012,13,Liam,436,Boys
2012,14,Alexander,425,Boys
2012,15,Benjamin,419,Boys
2012,16,Isaac,384,Boys
2012,17,Ryan,369,Boys
2012,18,Max,362,Boys
2012,19,Daniel,350,Boys
2012,20,Samuel,348,Boys
2012,21,Charlie,343,Boys
2012,22,Jayden,324,Boys
2012,23,Xavier,318,Boys
2012,24,Mason,315,Boys
2012,25,Harrison,306,Boys
2012,26,Tyler,295,Boys
2012,27,Henry,276,Boys
2012,28,Harry,274,Boys
2012,29,Oscar,273,Boys
2012,30,Riley,272,Boys
2012,31,Levi,267,Boys
2012,32,Dylan,251,Boys
2012,33,Jake,243,Boys
2012,34,Nicholas,243,Boys
2012,35,Hunter,238,Boys
2012,36,Logan,236,Boys
2012,37,Jackson,235,Boys
2012,38,Michael,223,Boys
2012,39,Sebastian,221,Boys
2012,40,Beau,216,Boys
2012,41,Matthew,214,Boys
2012,42,Archie,213,Boys
2012,43,Luke,212,Boys
2012,44,Aiden,206,Boys
2012,45,Blake,204,Boys
2012,46,Flynn,203,Boys
2012,47,Patrick,203,Boys
2012,48,Leo,201,Boys
2012,49,Zachary,201,Boys
2012,50,Elijah,199,Boys
2011,1,William,641,Boys
2011,2,Lucas,594,Boys
2011,3,Lachlan,579,Boys
2011,4,Ethan,558,Boys
2011,5,Oliver,549,Boys
2011,6,Jack,547,Boys
2011,7,Noah,529,Boys
2011,8,Thomas,518,Boys
2011,9,Joshua,504,Boys
2011,10,Cooper,499,Boys
2011,11,Benjamin,472,Boys
2011,12,James,471,Boys
2011,13,Jacob,466,Boys
2011,14,Samuel,460,Boys
2011,15,Liam,449,Boys
2011,16,Alexander,406,Boys
2011,17,Max,383,Boys
2011,18,Charlie,382,Boys
2011,19,Isaac,359,Boys
2011,20,Riley,354,Boys
2011,21,Jayden,344,Boys
2011,22,Xavier,331,Boys
2011,23,Ryan,326,Boys
2011,24,Daniel,316,Boys
2011,25,Tyler,288,Boys
2011,26,Harrison,287,Boys
2011,27,Mason,281,Boys
2011,28,Jake,269,Boys
2011,29,Levi,264,Boys
2011,30,Harry,264,Boys
2011,31,Oscar,264,Boys
2011,32,Matthew,259,Boys
2011,33,Luke,255,Boys
2011,34,Logan,252,Boys
2011,35,Michael,248,Boys
2011,36,Nicholas,246,Boys
2011,37,Aiden,233,Boys
2011,38,Sebastian,230,Boys
2011,39,Henry,223,Boys
2011,40,Jackson,217,Boys
2011,41,Dylan,214,Boys
2011,42,Hayden,209,Boys
2011,43,Joseph,201,Boys
2011,44,Elijah,198,Boys
2011,45,Eli,193,Boys
2011,46,Blake,192,Boys
2011,47,Archie,192,Boys
2011,48,Hunter,188,Boys
2011,49,Adam,186,Boys
2011,50,Beau,182,Boys
2010,1,William,717,Boys
2010,2,Jack,606,Boys
2010,3,Oliver,552,Boys
2010,4,Joshua,549,Boys
2010,5,Thomas,548,Boys
2010,6,Lachlan,543,Boys
2010,7,Cooper,529,Boys
2010,8,Noah,528,Boys
2010,9,Ethan,528,Boys
2010,10,Lucas,498,Boys
2010,11,James,474,Boys
2010,12,Samuel,453,Boys
2010,13,Jacob,439,Boys
2010,14,Liam,421,Boys
2010,15,Alexander,406,Boys
2010,16,Benjamin,389,Boys
2010,17,Max,380,Boys
2010,18,Isaac,377,Boys
2010,19,Daniel,365,Boys
2010,20,Riley,364,Boys
2010,21,Ryan,362,Boys
2010,22,Charlie,338,Boys
2010,23,Tyler,321,Boys
2010,24,Jake,307,Boys
2010,25,Matthew,307,Boys
2010,26,Xavier,306,Boys
2010,27,Harry,300,Boys
2010,28,Jayden,296,Boys
2010,29,Nicholas,267,Boys
2010,30,Harrison,263,Boys
2010,31,Levi,262,Boys
2010,32,Luke,253,Boys
2010,33,Adam,238,Boys
2010,34,Henry,235,Boys
2010,35,Aiden,234,Boys
2010,36,Dylan,232,Boys
2010,37,Oscar,231,Boys
2010,38,Michael,228,Boys
2010,39,Jackson,225,Boys
2010,40,Logan,222,Boys
2010,41,Joseph,202,Boys
2010,42,Blake,200,Boys
2010,43,Nathan,198,Boys
2010,44,Connor,197,Boys
2010,45,Elijah,193,Boys
2010,46,Nate,188,Boys
2010,47,Archie,179,Boys
2010,48,Bailey,179,Boys
2010,49,Marcus,175,Boys
2010,50,Cameron,173,Boys
2009,1,William,730,Boys
2009,2,Jack,645,Boys
2009,3,Lachlan,600,Boys
2009,4,Cooper,588,Boys
2009,5,Joshua,576,Boys
2009,6,Thomas,566,Boys
2009,7,Oliver,554,Boys
2009,8,Noah,531,Boys
2009,9,Ethan,505,Boys
2009,10,Riley,501,Boys
2009,11,James,494,Boys
2009,12,Lucas,489,Boys
2009,13,Samuel,473,Boys
2009,14,Benjamin,460,Boys
2009,15,Daniel,420,Boys
2009,16,Liam,401,Boys
2009,17,Max,395,Boys
2009,18,Alexander,388,Boys
2009,19,Ryan,377,Boys
2009,20,Jacob,371,Boys
2009,21,Isaac,349,Boys
2009,22,Matthew,339,Boys
2009,23,Jayden,328,Boys
2009,24,Charlie,309,Boys
2009,25,Tyler,295,Boys
2009,26,Luke,293,Boys
2009,27,Nicholas,277,Boys
2009,28,Harry,277,Boys
2009,29,Jake,274,Boys
2009,30,Oscar,272,Boys
2009,31,Xavier,269,Boys
2009,32,Jackson,251,Boys
2009,33,Dylan,247,Boys
2009,34,Harrison,245,Boys
2009,35,Aiden,239,Boys
2009,36,Michael,234,Boys
2009,37,Levi,219,Boys
2009,38,Zachary,216,Boys
2009,39,Bailey,215,Boys
2009,40,Logan,215,Boys
2009,41,Connor,213,Boys
2009,42,Blake,211,Boys
2009,43,Christian,210,Boys
2009,44,Hayden,206,Boys
2009,45,Archie,204,Boys
2009,46,Joseph,202,Boys
2009,47,Ashton,191,Boys
2009,48,Henry,191,Boys
2009,49,Adam,191,Boys
2009,50,Jordan,189,Boys
2008,1,Jack,665,Boys
2008,2,William,660,Boys
2008,3,Lachlan,581,Boys
2008,4,Joshua,563,Boys
2008,5,Cooper,533,Boys
2008,6,Riley,492,Boys
2008,7,Thomas,479,Boys
2008,8,Oliver,473,Boys
2008,9,James,460,Boys
2008,10,Benjamin,459,Boys
2008,11,Ethan,456,Boys
